단어,중심성
세대,0.8533333333333334
사회,0.7200000000000001
업무,0.22666666666666668
청년,0.21333333333333335
혁신,0.18666666666666668
상황,0.16
국민,0.14666666666666667
인사,0.14666666666666667
갈등,0.13333333333333333
근무,0.13333333333333333
기간,0.13333333333333333
경제,0.12000000000000001
구조,0.12000000000000001
개선,0.10666666666666667
공직,0.08
조직,0.08
지급,0.06666666666666667
정치,0.06666666666666667
해결,0.06666666666666667
지원,0.06666666666666667
미래,0.06666666666666667
노동,0.06666666666666667
생각,0.06666666666666667
승진,0.05333333333333334
취업,0.05333333333333334
가능,0.05333333333333334
마련,0.05333333333333334
문화,0.05333333333333334
수준,0.05333333333333334
방식,0.04
시대,0.04
인구,0.04
기업,0.04
중심,0.04
고용,0.04
교수,0.02666666666666667
임금,0.02666666666666667
노력,0.02666666666666667
환경,0.02666666666666667
복지,0.02666666666666667
개혁,0.02666666666666667
직장,0.02666666666666667
진행,0.02666666666666667
변화,0.02666666666666667
생활,0.02666666666666667
자리,0.02666666666666667
퇴직,0.02666666666666667
정도,0.02666666666666667
경쟁,0.02666666666666667
개인,0.02666666666666667
지속,0.013333333333333334
공정,0.013333333333333334
이탈,0.013333333333333334
자체,0.013333333333333334
기회,0.013333333333333334
대학,0.013333333333333334
여성,0.013333333333333334
부족,0.013333333333333334
원인,0.013333333333333334
반대,0.013333333333333334
선택,0.013333333333333334
발언,0.013333333333333334
확산,0.013333333333333334
기준,0.013333333333333334
직원,0.013333333333333334
결과,0.013333333333333334
고민,0.013333333333333334
강조,0.013333333333333334
위기,0.013333333333333334
체계,0.013333333333333334
현실,0.013333333333333334
연금,0.013333333333333334
의미,0.013333333333333334
보상,0.013333333333333334
증가,0.013333333333333334
전문가,0.013333333333333334
